epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1289.24,1.31367,0.68453,0.98108,0.8859,0.63655,0.75139,0.44205,1.37469,0.70177,1.02314,0.00113191,0.00113191,0.00113191
65,1309.22,1.3351,0.68858,0.98924,0.838,0.67206,0.75712,0.44591,1.40211,0.73441,1.03337,0.0011272,0.0011272,0.0011272
66,1329.23,1.32343,0.69175,0.98366,0.92681,0.64001,0.76286,0.45662,1.37189,0.69685,1.02423,0.00112248,0.00112248,0.00112248
67,1349.36,1.33801,0.68424,0.98,0.74637,0.70605,0.77172,0.45959,1.38977,0.6981,1.02675,0.00111776,0.00111776,0.00111776
68,1369.39,1.31311,0.67367,0.97701,0.86444,0.66819,0.77323,0.45285,1.37911,0.69306,1.03238,0.00111305,0.00111305,0.00111305
69,1389.49,1.31811,0.66531,0.97734,0.89124,0.64631,0.78174,0.45472,1.37161,0.69201,1.02199,0.00110833,0.00110833,0.00110833
70,1409.39,1.33547,0.68875,0.98409,0.8422,0.71648,0.76023,0.46427,1.36901,0.68867,1.02377,0.00110362,0.00110362,0.00110362
71,1429.43,1.30936,0.67832,0.97724,0.85498,0.65992,0.76667,0.45504,1.36529,0.69022,1.02852,0.0010989,0.0010989,0.0010989
72,1449.54,1.31273,0.68858,0.97652,0.89001,0.67993,0.76739,0.46045,1.36209,0.69194,1.02049,0.00109419,0.00109419,0.00109419
73,1469.47,1.30463,0.67194,0.9788,0.85279,0.68195,0.76369,0.47059,1.37383,0.66667,1.03271,0.00108947,0.00108947,0.00108947
74,1489.33,1.32621,0.68067,0.97971,0.87409,0.62481,0.74117,0.44528,1.39289,0.69339,1.02825,0.00108475,0.00108475,0.00108475
75,1509.37,1.31256,0.66724,0.97634,0.89401,0.66185,0.76364,0.47056,1.37595,0.68429,1.02853,0.00108004,0.00108004,0.00108004
