epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,3394.29,1.23201,0.61791,0.95624,0.86087,0.76863,0.82684,0.50469,1.38059,0.64803,1.03555,0.000995156,0.000995156,0.000995156
94,3431.1,1.22716,0.61117,0.95038,0.87924,0.77553,0.83825,0.52438,1.36087,0.64893,1.02971,0.00099044,0.00099044,0.00099044
95,3467.6,1.23926,0.6074,0.95442,0.88891,0.72919,0.80955,0.49503,1.36083,0.64281,1.0296,0.000985724,0.000985724,0.000985724
96,3504.1,1.23393,0.61574,0.9566,0.90269,0.74073,0.80576,0.48966,1.37668,0.64837,1.03256,0.000981008,0.000981008,0.000981008
97,3540.84,1.25476,0.62548,0.95708,0.81323,0.8077,0.83799,0.51942,1.36876,0.64165,1.03193,0.000976293,0.000976293,0.000976293
98,3577.42,1.23125,0.61292,0.95488,0.85559,0.74081,0.80103,0.4888,1.39281,0.6599,1.03877,0.000971577,0.000971577,0.000971577
99,3613.9,1.2227,0.62148,0.95027,0.86359,0.7574,0.81182,0.4941,1.36674,0.64921,1.03143,0.000966861,0.000966861,0.000966861
100,3650.55,1.24188,0.62375,0.95622,0.89293,0.71134,0.80474,0.49034,1.38539,0.65697,1.04134,0.000962146,0.000962146,0.000962146
101,3687.16,1.22007,0.60932,0.95607,0.84575,0.73272,0.81896,0.49117,1.38474,0.64686,1.04563,0.00095743,0.00095743,0.00095743
102,3723.65,1.22568,0.60466,0.95713,0.84571,0.76979,0.82787,0.50567,1.36923,0.63493,1.03429,0.000952714,0.000952714,0.000952714
103,3760.02,1.21565,0.61361,0.9541,0.8704,0.76079,0.82387,0.50316,1.37839,0.65019,1.03982,0.000947999,0.000947999,0.000947999
104,3796.5,1.2208,0.6032,0.9486,0.86419,0.75684,0.82851,0.50818,1.35967,0.65363,1.0339,0.000943283,0.000943283,0.000943283
105,3832.94,1.21716,0.60581,0.95551,0.85651,0.73151,0.81569,0.50052,1.38014,0.64802,1.04017,0.000938567,0.000938567,0.000938567
106,3869.58,1.21446,0.60034,0.94997,0.82086,0.77698,0.82176,0.51592,1.38546,0.62952,1.03761,0.000933851,0.000933851,0.000933851
107,3906.29,1.21868,0.60572,0.95528,0.86858,0.75846,0.81559,0.49941,1.37366,0.64208,1.03865,0.000929136,0.000929136,0.000929136
108,3942.76,1.22482,0.60177,0.95364,0.91312,0.70583,0.81379,0.50151,1.36616,0.6413,1.03199,0.00092442,0.00092442,0.00092442
109,3979.27,1.20794,0.60234,0.95125,0.7878,0.76897,0.8054,0.49741,1.36814,0.63908,1.02994,0.000919704,0.000919704,0.000919704
110,4015.88,1.20324,0.59842,0.94593,0.79621,0.81144,0.84011,0.52416,1.36305,0.64136,1.03753,0.000914989,0.000914989,0.000914989
111,4052.43,1.2083,0.59995,0.94991,0.85558,0.76679,0.83449,0.52714,1.36866,0.64751,1.03609,0.000910273,0.000910273,0.000910273
112,4089.15,1.18144,0.59107,0.94333,0.93233,0.68893,0.81948,0.51604,1.36335,0.64973,1.03243,0.000905557,0.000905557,0.000905557
113,4125.81,1.21432,0.59997,0.95191,0.91173,0.731,0.81919,0.50635,1.36651,0.64299,1.03073,0.000900842,0.000900842,0.000900842
114,4162.27,1.217,0.60156,0.94696,0.90556,0.74045,0.8216,0.50633,1.38632,0.6401,1.04094,0.000896126,0.000896126,0.000896126
115,4198.82,1.19866,0.59433,0.94073,0.91572,0.71774,0.81238,0.50645,1.38203,0.64557,1.03721,0.00089141,0.00089141,0.00089141
116,4235.33,1.19714,0.59291,0.94187,0.80094,0.78094,0.82046,0.52302,1.37682,0.64692,1.03248,0.000886694,0.000886694,0.000886694
117,4272,1.19251,0.59177,0.94252,0.85882,0.77402,0.82533,0.5188,1.37828,0.64093,1.04038,0.000881979,0.000881979,0.000881979
118,4308.55,1.19738,0.58816,0.9474,0.93007,0.70156,0.82388,0.5078,1.39581,0.65539,1.04651,0.000877263,0.000877263,0.000877263
119,4345.06,1.20574,0.59286,0.9457,0.89885,0.74505,0.81707,0.50178,1.3794,0.63755,1.03814,0.000872547,0.000872547,0.000872547
120,4382.82,1.17355,0.57886,0.94103,0.92407,0.72441,0.81619,0.50454,1.39279,0.64225,1.04759,0.000867832,0.000867832,0.000867832
121,4419.21,1.22256,0.6112,0.94995,0.89741,0.74482,0.81512,0.50304,1.38002,0.65112,1.03904,0.000863116,0.000863116,0.000863116
122,4455.78,1.18727,0.59109,0.94076,0.92879,0.72354,0.83231,0.50917,1.37565,0.64115,1.0374,0.0008584,0.0008584,0.0008584
123,4492.27,1.18203,0.58479,0.94373,0.90021,0.7482,0.82438,0.50387,1.36944,0.6326,1.0408,0.000853685,0.000853685,0.000853685
124,4528.83,1.19429,0.59404,0.94563,0.88596,0.70334,0.81497,0.50004,1.39,0.63745,1.04622,0.000848969,0.000848969,0.000848969
125,4565.4,1.20118,0.5937,0.94555,0.81435,0.75115,0.81795,0.4976,1.39092,0.65469,1.0466,0.000844253,0.000844253,0.000844253
126,4601.91,1.19566,0.59247,0.94157,0.90863,0.73688,0.83626,0.50918,1.37905,0.64794,1.04182,0.000839537,0.000839537,0.000839537
127,4638.51,1.1909,0.59728,0.94272,0.90682,0.75891,0.81756,0.50377,1.39291,0.63633,1.04535,0.000834822,0.000834822,0.000834822
128,4674.95,1.19477,0.58598,0.94655,0.90478,0.75893,0.8224,0.49809,1.38994,0.65109,1.04245,0.000830106,0.000830106,0.000830106
129,4711.43,1.19571,0.59465,0.94627,0.92637,0.74181,0.83173,0.52088,1.39391,0.6371,1.04418,0.00082539,0.00082539,0.00082539
130,4748.01,1.18039,0.57813,0.94117,0.85926,0.77632,0.82667,0.51709,1.38451,0.64602,1.04199,0.000820675,0.000820675,0.000820675
131,4784.63,1.18086,0.58447,0.93738,0.91063,0.73874,0.83306,0.53213,1.38866,0.63725,1.04785,0.000815959,0.000815959,0.000815959
132,4821.22,1.19266,0.58368,0.93874,0.86714,0.76129,0.82768,0.52731,1.3903,0.6234,1.04478,0.000811243,0.000811243,0.000811243
133,4857.82,1.18056,0.58503,0.94181,0.84598,0.77418,0.81182,0.50106,1.37424,0.6233,1.04253,0.000806528,0.000806528,0.000806528
134,4894.54,1.17928,0.58321,0.9406,0.87718,0.76773,0.81177,0.4997,1.38641,0.64427,1.05017,0.000801812,0.000801812,0.000801812
135,4931.09,1.16354,0.57632,0.93813,0.86627,0.69923,0.81847,0.51545,1.38301,0.62736,1.04352,0.000797096,0.000797096,0.000797096
136,4967.62,1.17171,0.58032,0.93373,0.88016,0.7643,0.82078,0.50693,1.38735,0.63381,1.05174,0.00079238,0.00079238,0.00079238
137,5004.3,1.18565,0.58711,0.94389,0.90924,0.75941,0.81834,0.50265,1.37873,0.64401,1.04267,0.000787665,0.000787665,0.000787665
138,5040.81,1.15464,0.57395,0.93414,0.8984,0.76608,0.82461,0.50963,1.39452,0.64226,1.0506,0.000782949,0.000782949,0.000782949
139,5077.41,1.15379,0.56931,0.93368,0.8743,0.78614,0.84054,0.51896,1.39006,0.61986,1.04582,0.000778233,0.000778233,0.000778233
140,5114,1.16477,0.57534,0.93713,0.8764,0.77407,0.83861,0.5245,1.38824,0.63091,1.04586,0.000773518,0.000773518,0.000773518
141,5150.67,1.16957,0.58091,0.93561,0.85519,0.78584,0.82759,0.52239,1.37754,0.63483,1.03981,0.000768802,0.000768802,0.000768802
142,5187.31,1.15246,0.56125,0.93397,0.91288,0.73982,0.83249,0.51598,1.37966,0.62334,1.03964,0.000764086,0.000764086,0.000764086
143,5223.81,1.16993,0.57868,0.93789,0.92509,0.72316,0.81718,0.50609,1.38317,0.63963,1.04598,0.000759371,0.000759371,0.000759371
144,5260.3,1.15609,0.57796,0.93247,0.90479,0.74229,0.81224,0.4938,1.38951,0.62723,1.04103,0.000754655,0.000754655,0.000754655
145,5296.99,1.15822,0.5722,0.92954,0.92407,0.75019,0.83042,0.51658,1.39094,0.64253,1.04925,0.000749939,0.000749939,0.000749939
146,5333.56,1.17486,0.57625,0.93885,0.91815,0.75211,0.82853,0.51419,1.38781,0.6257,1.04435,0.000745223,0.000745223,0.000745223
147,5370.15,1.1624,0.56925,0.93552,0.92415,0.71731,0.8281,0.50522,1.41762,0.64341,1.0511,0.000740508,0.000740508,0.000740508
148,5406.71,1.14758,0.56187,0.93361,0.83765,0.7926,0.82667,0.50692,1.40115,0.63883,1.05306,0.000735792,0.000735792,0.000735792
149,5443.39,1.14661,0.57041,0.93072,0.8657,0.75458,0.81699,0.50155,1.39498,0.63412,1.05347,0.000731076,0.000731076,0.000731076
150,5479.91,1.16098,0.56205,0.93186,0.84857,0.76798,0.81439,0.50142,1.39964,0.6382,1.05363,0.000726361,0.000726361,0.000726361
151,5516.55,1.15658,0.56545,0.93512,0.89072,0.73928,0.80407,0.48777,1.40337,0.63801,1.0523,0.000721645,0.000721645,0.000721645
152,5553.16,1.14766,0.56778,0.93049,0.93197,0.71696,0.82577,0.51136,1.39426,0.63691,1.05069,0.000716929,0.000716929,0.000716929
153,5589.89,1.14617,0.5607,0.93055,0.89097,0.73721,0.80687,0.50592,1.40511,0.64033,1.05859,0.000712214,0.000712214,0.000712214
154,5626.41,1.1379,0.55504,0.92626,0.89918,0.72618,0.80634,0.49292,1.4066,0.64614,1.05459,0.000707498,0.000707498,0.000707498
155,5662.88,1.13293,0.56318,0.92734,0.89741,0.72356,0.81611,0.50002,1.39147,0.63622,1.0483,0.000702782,0.000702782,0.000702782
156,5699.51,1.12903,0.55642,0.93353,0.90706,0.71102,0.81788,0.51416,1.38855,0.62309,1.04637,0.000698066,0.000698066,0.000698066
157,5736.07,1.13452,0.55916,0.92782,0.89157,0.72221,0.82548,0.51114,1.39063,0.63569,1.05082,0.000693351,0.000693351,0.000693351
158,5772.58,1.14849,0.56026,0.92911,0.88359,0.73524,0.81608,0.50343,1.38906,0.63463,1.04907,0.000688635,0.000688635,0.000688635
159,5809.02,1.12953,0.54882,0.92448,0.89161,0.73742,0.82812,0.51373,1.39178,0.63249,1.04724,0.000683919,0.000683919,0.000683919
160,5845.49,1.12508,0.54609,0.92427,0.89061,0.71568,0.82205,0.50139,1.4013,0.65017,1.05134,0.000679204,0.000679204,0.000679204
161,5882.02,1.12737,0.5533,0.92763,0.92408,0.72712,0.82544,0.50737,1.40392,0.63446,1.05529,0.000674488,0.000674488,0.000674488
162,5918.54,1.13427,0.55904,0.92651,0.89037,0.73334,0.81648,0.50001,1.4135,0.64936,1.06357,0.000669772,0.000669772,0.000669772
163,5955.13,1.14147,0.56257,0.92928,0.86485,0.76989,0.8215,0.50388,1.39757,0.64228,1.05457,0.000665057,0.000665057,0.000665057
164,5991.61,1.13034,0.55589,0.92912,0.89478,0.7359,0.81699,0.50422,1.39835,0.62936,1.05572,0.000660341,0.000660341,0.000660341
165,6028.28,1.12939,0.55293,0.92948,0.89902,0.72776,0.81786,0.50064,1.39575,0.64487,1.05497,0.000655625,0.000655625,0.000655625
166,6064.77,1.1252,0.55627,0.92526,0.88896,0.74416,0.81421,0.49203,1.4103,0.6494,1.05663,0.000650909,0.000650909,0.000650909
167,6101.18,1.13643,0.56267,0.9254,0.92188,0.74515,0.82309,0.50857,1.40598,0.64677,1.06321,0.000646194,0.000646194,0.000646194
168,6137.66,1.13824,0.55686,0.92434,0.81788,0.77218,0.81247,0.49825,1.39618,0.64039,1.05444,0.000641478,0.000641478,0.000641478
169,6174.1,1.11249,0.55409,0.92286,0.90925,0.74381,0.81339,0.49726,1.40743,0.63942,1.06621,0.000636762,0.000636762,0.000636762
170,6210.59,1.13179,0.55304,0.92511,0.88036,0.76895,0.82703,0.51928,1.40434,0.63859,1.06042,0.000632047,0.000632047,0.000632047
171,6247.11,1.10536,0.5423,0.92016,0.91142,0.73054,0.81353,0.51406,1.40735,0.63815,1.06445,0.000627331,0.000627331,0.000627331
172,6283.55,1.11611,0.54275,0.9226,0.91796,0.72852,0.80803,0.51034,1.41003,0.63803,1.0584,0.000622615,0.000622615,0.000622615
173,6320.05,1.09699,0.53547,0.91587,0.92071,0.73657,0.81804,0.50779,1.40596,0.63465,1.06545,0.0006179,0.0006179,0.0006179
174,6356.48,1.11266,0.54178,0.92073,0.91446,0.76548,0.82464,0.50582,1.39999,0.62896,1.06039,0.000613184,0.000613184,0.000613184
175,6392.89,1.10799,0.54247,0.91754,0.89878,0.72813,0.81166,0.49782,1.40951,0.65208,1.06184,0.000608468,0.000608468,0.000608468
176,6429.2,1.10218,0.53741,0.91536,0.89115,0.75895,0.81636,0.50012,1.40406,0.64703,1.06095,0.000603752,0.000603752,0.000603752
177,6465.87,1.08981,0.54235,0.91204,0.84396,0.76851,0.8168,0.49605,1.41154,0.64093,1.06451,0.000599037,0.000599037,0.000599037
178,6502.43,1.09413,0.53069,0.91232,0.89776,0.72851,0.8279,0.49378,1.41126,0.63592,1.06678,0.000594321,0.000594321,0.000594321
179,6539.04,1.11432,0.5365,0.92195,0.93751,0.71514,0.82857,0.49998,1.40976,0.63758,1.07031,0.000589605,0.000589605,0.000589605
180,6575.65,1.09922,0.5362,0.91957,0.83197,0.78962,0.81176,0.4918,1.42187,0.64122,1.06539,0.00058489,0.00058489,0.00058489
181,6612.25,1.08909,0.53204,0.91058,0.8332,0.7766,0.81323,0.49245,1.41476,0.64715,1.06455,0.000580174,0.000580174,0.000580174
182,6650.05,1.09147,0.53198,0.91312,0.89466,0.72466,0.8121,0.50093,1.39762,0.65214,1.05533,0.000575458,0.000575458,0.000575458
