datetime_start,datetime_end,ocr_raw,count_of_car,count_of_motorcycle,count_of_heavy,cluster
2025-11-03 09:02:00,2025-11-03 09:03:00,09:03,20,81,0,0
2025-11-03 09:03:00,2025-11-03 09:04:00,09:04,29,73,1,0
2025-11-03 09:04:00,2025-11-03 09:05:00,09:05,9,30,0,1
2025-11-03 09:05:00,2025-11-03 09:06:00,09:06,14,69,0,0
2025-11-03 09:06:00,2025-11-03 09:07:00,09:07,34,95,1,0
2025-11-03 09:07:00,2025-11-03 09:08:00,09:08,22,49,0,0
2025-11-03 09:08:00,2025-11-03 09:09:00,09:09,8,25,0,1
2025-11-03 09:09:00,2025-11-03 09:10:00,09:10,25,94,1,0
2025-11-03 09:10:00,2025-11-03 10:01:00,09:11,24,61,0,0
2025-11-03 10:00:00,2025-11-03 10:01:00,10:01,22,96,2,0
2025-11-03 10:01:00,2025-11-03 10:02:00,10:02,35,61,0,0
2025-11-03 10:02:00,2025-11-03 10:03:00,10:03,11,27,0,1
2025-11-03 10:03:00,2025-11-03 10:04:00,10:04,11,61,0,1
2025-11-03 10:04:00,2025-11-03 10:05:00,10:05,26,96,0,0
2025-11-03 10:05:00,2025-11-03 10:06:00,10:06,21,45,1,0
2025-11-03 10:06:00,2025-11-03 10:07:00,10:07,8,21,1,1
2025-11-03 10:07:00,2025-11-03 10:08:00,10:08,17,89,0,0
2025-11-03 10:08:00,2025-11-03 10:09:00,10:09,36,81,1,0
2025-11-03 10:09:00,2025-11-03 10:10:00,10:10,25,37,0,0
2025-11-03 11:00:00,2025-11-03 11:01:00,11:01,8,13,0,1
2025-11-03 11:01:00,2025-11-03 11:02:00,11:02,26,46,2,0
2025-11-03 11:02:00,2025-11-03 11:03:00,11:03,19,69,0,0
2025-11-03 11:03:00,2025-11-03 11:04:00,11:04,24,66,0,0
2025-11-03 11:04:00,2025-11-03 11:05:00,11:05,30,51,1,0
2025-11-03 11:05:00,2025-11-03 11:06:00,11:06,11,66,1,0
2025-11-03 11:06:00,2025-11-03 11:07:00,11:07,41,79,0,0
2025-11-03 11:07:00,2025-11-03 11:08:00,11:08,21,53,2,0
2025-11-03 11:08:00,2025-11-03 11:09:00,11:09,15,69,1,0
2025-11-03 11:09:00,2025-11-03 11:10:00,11:10,28,81,3,0
2025-11-03 12:00:00,2025-11-03 12:01:00,12:01,31,22,1,0
2025-11-03 12:01:00,2025-11-03 12:02:00,12:02,26,40,1,0
2025-11-03 12:02:00,2025-11-03 12:03:00,12:03,30,28,0,0
2025-11-03 12:03:00,2025-11-03 12:04:00,12:04,25,31,2,0
2025-11-03 12:04:00,2025-11-03 12:05:00,12:05,24,60,0,0
2025-11-03 12:05:00,2025-11-03 12:06:00,12:06,29,42,1,0
2025-11-03 12:06:00,2025-11-03 12:07:00,12:07,27,29,2,0
2025-11-03 12:07:00,2025-11-03 12:08:00,12:08,22,82,1,0
2025-11-03 12:08:00,2025-11-03 12:09:00,12:09,21,29,2,0
2025-11-03 12:09:00,2025-11-03 12:10:00,12:10,34,53,0,0
2025-11-03 12:10:00,2025-11-03 13:02:00,12:56,0,0,0,1
2025-11-03 13:02:00,2025-11-03 13:05:00,01:05,0,0,0,1
2025-11-03 13:05:00,2025-11-03 13:08:00,01:08,0,0,0,1
2025-11-03 14:00:00,2025-11-03 14:01:00,02:01,29,32,1,0
2025-11-03 14:01:00,2025-11-03 14:02:00,02:02,35,80,0,0
2025-11-03 14:02:00,2025-11-03 14:03:00,02:03,31,50,0,0
2025-11-03 14:03:00,2025-11-03 14:04:00,02:04,27,62,2,0
2025-11-03 14:04:00,2025-11-03 14:05:00,02:05,37,79,2,0
2025-11-03 14:05:00,2025-11-03 14:06:00,02:06,36,63,0,0
2025-11-03 14:06:00,2025-11-03 14:07:00,02:07,32,63,0,0
2025-11-03 14:07:00,2025-11-03 14:08:00,02:08,30,82,0,0
2025-11-03 14:08:00,2025-11-03 14:09:00,02:09,28,31,1,0
2025-11-03 14:09:00,2025-11-03 14:10:00,02:10,19,81,1,0
2025-11-03 15:00:00,2025-11-03 15:01:00,03:01,45,83,1,0
2025-11-03 15:01:00,2025-11-03 15:02:00,03:02,22,49,1,0
2025-11-03 15:02:00,2025-11-03 15:03:00,03:03,22,92,0,0
2025-11-03 15:03:00,2025-11-03 15:04:00,03:04,37,79,1,0
2025-11-03 15:04:00,2025-11-03 15:05:00,03:05,32,69,3,0
2025-11-03 15:05:00,2025-11-03 15:06:00,03:06,27,85,0,0
2025-11-03 15:06:00,2025-11-03 15:07:00,03:07,40,56,2,0
2025-11-03 15:07:00,2025-11-03 15:08:00,03:08,25,104,0,0
2025-11-03 15:08:00,2025-11-03 15:09:00,03:09,30,67,1,0
2025-11-03 15:09:00,2025-11-03 15:10:00,03:10,34,64,1,0
2025-11-03 16:00:00,2025-11-03 16:01:00,04:01,37,86,0,0
2025-11-03 16:01:00,2025-11-03 16:02:00,04:02,29,126,0,0
2025-11-03 16:02:00,2025-11-03 16:03:00,04:03,34,37,0,0
2025-11-03 16:03:00,2025-11-03 16:04:00,04:04,21,97,0,0
2025-11-03 16:04:00,2025-11-03 16:05:00,04:05,28,89,3,0
2025-11-03 16:05:00,2025-11-03 16:06:00,04:06,46,67,1,0
2025-11-03 16:06:00,2025-11-03 16:07:00,04:07,22,151,0,0
2025-11-03 16:07:00,2025-11-03 16:08:00,04:08,43,78,1,0
2025-11-03 16:08:00,2025-11-03 16:09:00,04:09,20,58,0,0
2025-11-03 16:09:00,2025-11-03 16:10:00,04:10,28,163,0,0
2025-11-03 17:00:00,2025-11-03 17:01:00,05:01,32,167,1,0
2025-11-03 17:01:00,2025-11-03 17:02:00,05:02,34,65,0,0
2025-11-03 17:02:00,2025-11-03 17:03:00,05:03,23,175,0,0
2025-11-03 17:03:00,2025-11-03 17:04:00,05:04,30,73,0,0
2025-11-03 17:04:00,2025-11-03 17:05:00,05:05,29,107,0,0
2025-11-03 17:05:00,2025-11-03 17:06:00,05:06,16,192,1,0
2025-11-03 17:06:00,2025-11-03 17:07:00,05:07,46,98,0,0
2025-11-03 17:07:00,2025-11-03 17:08:00,05:08,27,112,0,0
2025-11-03 17:08:00,2025-11-03 17:09:00,05:09,19,200,0,0
2025-11-03 17:09:00,2025-11-03 21:10:00,05:10,32,105,0,0
2025-11-03 18:00:00,2025-11-03 18:01:00,06:01,23,68,0,0
2025-11-03 18:01:00,2025-11-03 18:02:00,06:02,22,116,0,0
2025-11-03 18:02:00,2025-11-03 18:03:00,06:03,29,78,0,0
2025-11-03 18:03:00,2025-11-03 18:04:00,06:04,14,58,0,0
2025-11-03 18:04:00,2025-11-03 18:05:00,06:05,26,142,0,0
2025-11-03 18:05:00,2025-11-03 18:06:00,06:06,22,101,0,0
2025-11-03 18:06:00,2025-11-03 18:07:00,06:07,20,55,0,0
2025-11-03 18:07:00,2025-11-03 18:08:00,06:08,20,100,0,0
2025-11-03 18:08:00,2025-11-03 18:09:00,06:09,24,91,0,0
2025-11-03 18:09:00,2025-11-03 18:10:00,06:10,30,66,1,0
2025-11-03 19:00:00,2025-11-03 19:01:00,07:01,25,80,1,0
2025-11-03 19:01:00,2025-11-03 19:02:00,07:02,24,58,0,0
2025-11-03 19:02:00,2025-11-03 19:03:00,07:03,13,57,0,1
2025-11-03 19:03:00,2025-11-03 19:04:00,07:04,30,65,0,0
2025-11-03 19:04:00,2025-11-03 19:05:00,07:05,26,54,0,0
2025-11-03 19:05:00,2025-11-03 19:06:00,07:06,13,65,0,0
2025-11-03 19:06:00,2025-11-03 19:07:00,07:07,34,76,1,0
2025-11-03 19:07:00,2025-11-03 19:08:00,07:08,12,60,0,1
2025-11-03 19:08:00,2025-11-03 19:09:00,07:09,9,80,0,0
2025-11-03 19:09:00,2025-11-03 19:10:00,07:10,21,80,1,0
2025-11-03 20:00:00,2025-11-03 20:01:00,08:01,23,59,0,0
2025-11-03 20:01:00,2025-11-03 20:02:00,08:02,13,82,0,0
2025-11-03 20:02:00,2025-11-03 20:03:00,08:03,22,56,0,0
2025-11-03 20:03:00,2025-11-03 20:04:00,08:04,29,61,0,0
2025-11-03 20:04:00,2025-11-03 20:05:00,08:05,18,88,0,0
2025-11-03 20:05:00,2025-11-03 20:06:00,08:06,21,61,1,0
2025-11-03 20:06:00,2025-11-03 20:07:00,08:07,22,53,0,0
2025-11-03 20:07:00,2025-11-03 20:08:00,08:08,12,96,0,0
2025-11-03 20:08:00,2025-11-03 20:09:00,08:09,24,47,0,0
2025-11-03 20:09:00,2025-11-03 20:10:00,08:10,17,47,0,0
2025-11-03 21:00:00,2025-11-03 21:00:00,09:01,21,47,0,0
2025-11-03 21:00:00,2025-11-03 21:01:00,09:01,0,0,0,1
2025-11-03 21:01:00,2025-11-03 21:02:00,09:02,19,85,0,0
2025-11-03 21:02:00,2025-11-03 21:03:00,09:03,22,33,0,0
2025-11-03 21:03:00,2025-11-03 21:04:00,09:04,16,68,1,0
2025-11-03 21:04:00,2025-11-03 21:05:00,09:05,14,76,0,0
2025-11-03 21:05:00,2025-11-03 21:06:00,09:06,24,65,1,0
2025-11-03 21:06:00,2025-11-03 21:07:00,09:07,18,41,0,1
2025-11-03 21:07:00,2025-11-03 21:08:00,09:08,13,86,0,0
2025-11-03 21:08:00,2025-11-03 21:09:00,09:09,19,66,0,0
2025-11-03 21:09:00,2025-11-03 21:10:00,09:10,18,48,0,0
2025-11-03 21:10:00,2025-11-03 22:01:00,09:56,0,0,0,1
2025-11-03 22:00:00,2025-11-03 22:01:00,10:01,18,45,0,0
2025-11-03 22:01:00,2025-11-03 22:02:00,10:02,16,70,0,0
2025-11-03 22:02:00,2025-11-03 22:05:00,10:05,17,33,0,1
2025-11-03 22:05:00,2025-11-03 22:06:00,10:06,1,5,0,1
2025-11-03 22:06:00,2025-11-03 22:07:00,10:07,13,72,0,0
2025-11-03 22:07:00,2025-11-03 22:08:00,10:08,12,65,0,0
2025-11-03 22:08:00,2025-11-03 22:09:00,10:09,12,50,1,1
2025-11-03 22:09:00,2025-11-03 22:10:00,10:10,13,74,0,0
2025-11-03 22:10:00,2025-11-03 23:02:00,10:56,0,0,0,1
2025-11-03 23:02:00,2025-11-03 23:03:00,11:03,0,0,0,1
2025-11-03 23:03:00,2025-11-03 23:04:00,11:04,0,0,0,1
2025-11-03 23:04:00,2025-11-03 23:05:00,11:05,2,7,0,1
2025-11-03 23:05:00,2025-11-03 23:06:00,11:06,1,10,0,1
2025-11-03 23:06:00,2025-11-03 23:07:00,11:07,3,16,0,1
2025-11-03 23:07:00,2025-11-03 23:08:00,11:08,1,18,0,1
2025-11-03 23:08:00,2025-11-03 23:09:00,11:09,2,10,0,1
2025-11-03 23:09:00,2025-11-03 23:10:00,11:10,2,15,0,1
2025-11-04 00:00:00,2025-11-04 00:01:00,12:01,0,5,0,1
2025-11-04 00:01:00,2025-11-04 00:02:00,12:02,1,1,0,1
2025-11-04 00:02:00,2025-11-04 00:03:00,12:03,0,6,0,1
2025-11-04 00:03:00,2025-11-04 00:04:00,12:04,1,17,0,1
2025-11-04 00:04:00,2025-11-04 00:05:00,12:05,0,11,0,1
2025-11-04 00:05:00,2025-11-04 00:06:00,12:06,0,10,0,1
2025-11-04 00:06:00,2025-11-04 00:07:00,12:07,1,5,0,1
2025-11-04 00:07:00,2025-11-04 00:08:00,12:08,0,20,0,1
2025-11-04 00:08:00,2025-11-04 00:09:00,12:09,0,20,0,1
2025-11-04 00:09:00,2025-11-04 00:10:00,12:10,1,10,0,1
2025-11-04 01:00:00,2025-11-04 01:01:00,01:01,0,0,0,1
2025-11-04 01:01:00,2025-11-04 01:02:00,01:02,1,10,0,1
2025-11-04 01:02:00,2025-11-04 01:03:00,01:03,0,5,0,1
2025-11-04 01:03:00,2025-11-04 01:04:00,01:04,0,4,0,1
2025-11-04 01:04:00,2025-11-04 01:05:00,01:05,1,5,0,1
2025-11-04 01:05:00,2025-11-04 01:06:00,01:06,0,2,0,1
2025-11-04 01:06:00,2025-11-04 01:07:00,01:07,1,4,0,1
2025-11-04 01:07:00,2025-11-04 01:08:00,01:08,0,2,0,1
2025-11-04 01:08:00,2025-11-04 01:09:00,01:09,4,5,0,1
2025-11-04 01:09:00,2025-11-04 01:10:00,01:10,0,6,0,1
2025-11-04 02:00:00,2025-11-04 02:01:00,02:01,0,3,0,1
2025-11-04 02:01:00,2025-11-04 02:02:00,02:02,0,5,0,1
2025-11-04 02:02:00,2025-11-04 02:03:00,02:03,0,2,0,1
2025-11-04 02:03:00,2025-11-04 02:04:00,02:04,1,6,0,1
2025-11-04 02:04:00,2025-11-04 02:05:00,02:05,0,4,0,1
2025-11-04 02:05:00,2025-11-04 02:06:00,02:06,0,7,0,1
2025-11-04 02:06:00,2025-11-04 02:07:00,02:07,0,6,0,1
2025-11-04 02:07:00,2025-11-04 02:08:00,02:08,0,8,0,1
2025-11-04 02:08:00,2025-11-04 02:09:00,02:09,0,1,0,1
2025-11-04 02:09:00,2025-11-04 02:10:00,02:10,1,5,0,1
2025-11-04 03:00:00,2025-11-04 03:01:00,03:01,0,4,0,1
2025-11-04 03:01:00,2025-11-04 03:02:00,03:02,0,4,0,1
2025-11-04 03:02:00,2025-11-04 03:03:00,03:03,0,8,0,1
2025-11-04 03:03:00,2025-11-04 03:04:00,03:04,0,6,0,1
2025-11-04 03:04:00,2025-11-04 03:05:00,03:05,0,8,0,1
2025-11-04 03:05:00,2025-11-04 03:06:00,03:06,0,11,0,1
2025-11-04 03:06:00,2025-11-04 03:07:00,03:07,1,1,0,1
2025-11-04 03:07:00,2025-11-04 03:08:00,03:08,1,4,0,1
2025-11-04 03:08:00,2025-11-04 03:09:00,03:09,0,4,0,1
2025-11-04 03:09:00,2025-11-04 03:10:00,03:10,0,3,0,1
2025-11-04 04:00:00,2025-11-04 04:01:00,04:01,0,0,0,1
2025-11-04 04:01:00,2025-11-04 04:02:00,04:02,0,3,0,1
2025-11-04 04:02:00,2025-11-04 04:03:00,04:03,0,2,0,1
2025-11-04 04:03:00,2025-11-04 04:04:00,04:04,1,2,0,1
2025-11-04 04:04:00,2025-11-04 04:05:00,04:05,0,1,0,1
2025-11-04 04:05:00,2025-11-04 04:06:00,04:06,0,3,0,1
2025-11-04 04:06:00,2025-11-04 04:07:00,04:07,0,6,0,1
2025-11-04 04:07:00,2025-11-04 04:08:00,04:08,0,5,0,1
2025-11-04 04:08:00,2025-11-04 04:09:00,04:09,0,3,0,1
2025-11-04 04:09:00,2025-11-04 04:10:00,04:10,1,3,0,1
2025-11-04 04:10:00,2025-11-04 05:02:00,04:56,0,0,0,1
2025-11-04 05:02:00,2025-11-04 05:03:00,05:03,1,1,0,1
2025-11-04 05:03:00,2025-11-04 05:04:00,05:04,2,28,0,1
2025-11-04 05:04:00,2025-11-04 05:05:00,05:05,3,24,0,1
2025-11-04 05:05:00,2025-11-04 05:06:00,05:06,5,8,0,1
2025-11-04 05:06:00,2025-11-04 05:07:00,05:07,1,24,0,1
2025-11-04 05:07:00,2025-11-04 05:08:00,05:08,5,30,0,1
2025-11-04 05:08:00,2025-11-04 05:09:00,05:09,1,8,0,1
2025-11-04 05:09:00,2025-11-04 09:10:00,05:10,1,16,0,1
2025-11-04 06:00:00,2025-11-04 06:01:00,06:01,9,32,0,1
2025-11-04 06:01:00,2025-11-04 06:02:00,06:02,7,27,0,1
2025-11-04 06:02:00,2025-11-04 06:03:00,06:03,4,24,1,1
2025-11-04 06:03:00,2025-11-04 06:04:00,06:04,3,45,0,1
2025-11-04 06:04:00,2025-11-04 06:05:00,06:05,4,38,0,1
2025-11-04 07:00:00,2025-11-04 07:01:00,07:01,9,91,1,0
2025-11-04 07:01:00,2025-11-04 07:02:00,07:02,22,53,1,0
2025-11-04 07:02:00,2025-11-04 07:03:00,07:03,16,89,2,0
2025-11-04 07:03:00,2025-11-04 07:04:00,07:04,18,49,1,0
2025-11-04 07:04:00,2025-11-04 07:05:00,07:05,12,71,0,0
2025-11-04 07:05:00,2025-11-04 07:06:00,07:06,34,129,0,0
2025-11-04 07:06:00,2025-11-04 07:07:00,07:07,21,38,0,0
2025-11-04 07:07:00,2025-11-04 07:08:00,07:08,22,72,0,0
2025-11-04 07:08:00,2025-11-04 07:09:00,07:09,19,64,1,0
2025-11-04 07:09:00,2025-11-04 07:10:00,07:10,15,30,1,1
2025-11-04 08:00:00,2025-11-04 08:01:00,08:01,12,71,0,0
2025-11-04 08:01:00,2025-11-04 08:02:00,08:02,29,138,1,0
2025-11-04 08:02:00,2025-11-04 08:03:00,08:03,15,43,0,1
2025-11-04 08:03:00,2025-11-04 08:04:00,08:04,19,102,0,0
2025-11-04 08:04:00,2025-11-04 08:05:00,08:05,32,126,1,0
2025-11-04 08:05:00,2025-11-04 08:06:00,08:06,15,62,0,0
2025-11-04 08:06:00,2025-11-04 08:07:00,08:07,30,132,0,0
2025-11-04 08:07:00,2025-11-04 08:08:00,08:08,24,65,0,0
2025-11-04 08:08:00,2025-11-04 08:09:00,08:09,9,61,0,1
2025-11-04 08:09:00,2025-11-04 08:10:00,08:10,26,137,0,0
2025-11-04 09:00:00,2025-11-04 09:01:00,09:01,26,66,1,0
2025-11-04 09:01:00,2025-11-04 09:02:00,09:02,8,25,0,1
2025-11-04 09:02:00,2025-11-04 09:03:00,09:03,19,57,1,0
2025-11-04 09:03:00,2025-11-04 09:04:00,09:04,31,79,1,0
2025-11-04 09:04:00,2025-11-04 09:05:00,09:05,8,36,0,1
2025-11-04 09:05:00,2025-11-04 09:06:00,09:06,13,36,0,1
2025-11-04 09:06:00,2025-11-04 09:07:00,09:07,26,105,0,0
2025-11-04 09:07:00,2025-11-04 09:08:00,09:08,19,33,2,0
2025-11-04 09:08:00,2025-11-04 09:09:00,09:09,4,34,0,1
2025-11-04 09:09:00,2025-11-04 09:10:00,09:10,22,129,0,0
2025-11-04 09:10:00,2025-11-04 10:01:00,09:56,0,0,0,1
2025-11-04 10:00:00,2025-11-04 10:01:00,10:01,6,44,1,1
2025-11-04 10:01:00,2025-11-04 10:02:00,10:02,21,58,0,0
2025-11-04 10:02:00,2025-11-04 10:03:00,10:03,32,81,0,0
2025-11-04 10:03:00,2025-11-04 10:04:00,10:04,21,65,0,0
2025-11-04 10:04:00,2025-11-04 10:05:00,10:05,12,80,0,0
2025-11-04 10:05:00,2025-11-04 10:06:00,10:06,29,66,0,0
2025-11-04 10:06:00,2025-11-04 10:07:00,10:07,21,37,0,0
2025-11-04 10:07:00,2025-11-04 10:08:00,10:08,11,80,0,0
2025-11-04 10:08:00,2025-11-04 10:09:00,10:09,32,61,0,0
2025-11-04 10:09:00,2025-11-04 11:10:00,10:10,33,61,0,0
2025-11-04 11:01:00,2025-11-04 11:02:00,11:02,16,22,0,1
2025-11-04 11:02:00,2025-11-04 11:03:00,11:03,33,51,2,0
2025-11-04 11:03:00,2025-11-04 11:04:00,11:04,32,86,3,0
2025-11-04 11:04:00,2025-11-04 11:05:00,11:05,37,35,3,0
2025-11-04 11:05:00,2025-11-04 11:06:00,11:06,25,82,0,0
2025-11-04 11:06:00,2025-11-04 11:07:00,11:07,36,98,1,0
2025-11-04 11:07:00,2025-11-04 11:08:00,11:08,30,33,2,0
2025-11-04 11:08:00,2025-11-04 11:09:00,11:09,21,85,0,0
